job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00019,Data Engineer,155300.0,USD,SE,CT,Singapore,M,Singapore,0,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,2024-04-30,2024-05-29,589,8.6,Algorithmic Solutions
AI00020,Research Scientist,93851.0,EUR,MI,PT,Netherlands,L,Germany,100,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,2024-05-01,2024-07-02,1809,6.7,AI Innovations
AI00021,Data Engineer,134197.0,USD,MI,FT,Norway,M,France,0,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,2024-06-21,2024-08-28,969,9.6,AI Innovations
AI00022,autonomous systems engineer,102550.0,USD,MI,PT,United States,M,United States,0,,Bachelor,2,Automotive,2024-04-23,2024-06-23,625,10.0,Cognitive Computing
AI00023,ML OPS ENGINEER,99382.0,EUR,SE,CT,Germany,S,Germany,0,"Hadoop, Git, Tableau",PhD,7,Automotive,2025-03-13,2025-05-11,1629,6.9,Quantum Computing Inc
AI00024,AI Product Manager,52167.0,USD,MI,FT,Austria,M,Ireland,100,"Git, Hadoop, Docker",Master,4,Telecommunications,2024-06-07,2024-06-24,2298,9.3,Cloud AI Solutions
AI00025,ml ops engineer,53923.0,USD,MI,FT,China,S,China,0,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,2024-10-27,2024-11-18,1006,7.4,AI Innovations
AI00026,Robotics Engineer,109779.0,USD,SE,PT,Israel,L,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,2024-08-01,2024-10-02,1146,8.8,DataVision Ltd
AI00027,ML Ops Engineer,,USD,MI,CT,Australia,S,India,50,"Hadoop, Linux, Git, Scala",Master,2,Media,2024-11-18,2025-01-18,2109,7.7,TechCorp Inc
AI00028,data analyst,52997.0,USD,MI,PT,Austria,M,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",,2,Government,2025-01-10,2025-02-20,2101,8.6,Predictive Systems
AI00029,Head of AI,42819.0,USD,EN,CT,Ireland,M,Ireland,50,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,2024-10-08,2024-11-20,2187,8.6,Cognitive Computing
AI00030,ml ops engineer,82083.0,USD,MI,CT,Israel,L,Israel,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,2024-01-18,2024-02-25,1212,6.3,Future Systems
AI00031,head of ai,67488.0,EUR,EN,FT,Netherlands,M,Netherlands,100,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,2024-05-16,2024-07-26,887,6.0,Advanced Robotics
AI00032,research scientist,68624.0,USD,EN,FT,Denmark,M,Denmark,0,"Azure, Python, Spark",Master,1,Real Estate,2024-01-31,2024-03-08,1910,9.2,Cloud AI Solutions
AI00033,Robotics Enginner,146852.0,USD,SE,FT,Switzerland,S,Switzerland,50,"NLP, Scala, Python",PhD,7,Real Estate,2024-08-28,2024-09-20,684,5.3,Cognitive Computing
AI00034,ML Ops Engineer,178183.0,USD,EX,FL,Finland,M,Finland,0,"Tableau, Azure, GCP, Linux, Python",Associate,16,Education,2024-03-01,2024-03-19,1850,5.7,Predictive Systems
AI00035,Deep Learning Engineer,150864.0,USD,SE,FL,Sweden,L,Singapore,0,"R, GCP, MLOps, Linux",Phd,8,Consulting,2024-10-26,2024-12-25,1504,7.9,Smart Analytics
AI00036,Head of AI,126942.0,USD,EX,CT,Finland,L,Netherlands,0,"Git, Hadoop, Data Visualization",Associate,10,Finance,2024-01-31,2024-02-26,1261,9.9,Autonomous Tech
AI00037,AI Architect,53752.0,USD,MI,PT,Japan,M,Japan,100,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,2024-10-17,2024-11-12,998,6.1,TechCorp Inc
AI00038,robotics engineer,111381.0,USD,EX,CT,Israel,S,Israel,0,"Linux, PyTorch, SQL, Statistics",Master,18,Government,2024-01-14,2024-03-12,1030,8.1,Autonomous Tech
AI00039,ai specialist,41430.0,USD,EN,PT,China,M,China,50,"Tableau, Docker, GCP",Bachelor,1,Healthcare,2024-06-15,2024-07-29,2323,8.0,Future Systems
AI00040,DATA ENGINEER,166080.0,EUR,EX,FL,Netherlands,L,Netherlands,100,"Computer Vision, Azure, Tableau",Associate,15,Government,2024-03-01,2024-05-01,831,5.1,DeepTech Ventures
AI00041,Data Scientist,96956.0,USD,MI,FT,United States,M,China,0,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,Telecommunications,2024-02-24,2024-03-09,761,5.3,DataVision Ltd
AI00042,AI Architect,196954.0,USD,SE,FL,United States,L,United States,50,"Java, Mathematics, SQL",Bachelor,8,Finance,2025-03-17,2025-04-16,2290,7.5,DataVision Ltd
AI00043,ai specialist,56745.0,USD,EN,PT,Finland,L,Finland,100,"Spark, Mathematics, GCP",Associate,1,Telecommunications,2025-02-01,2025-04-11,502,5.5,Quantum Computing Inc
AI00044,Machine Learning Researcher,113455.0,USD,SE,FT,Singapore,M,Singapore,50,"Hadoop, Docker, Python, Azure",Associate,8,Retail,2024-04-24,2024-06-12,1281,8.0,AI Innovations
AI00045,ML OPS ENGINEER,158808.0,EUR,SE,PT,Netherlands,M,Netherlands,50,"Docker, R, Linux",Bachelor,5,Media,2025-03-03,2025-05-03,1926,7.4,Future Systems
AI00046,AI Research Scientist,174663.0,USD,SE,CT,United States,M,Singapore,50,"Data Visualization, Statistics, R",Associate,7,Media,2024-01-10,2024-03-22,1151,5.4,DeepTech Ventures
AI00047,AI RESEARCH SCIENTIST,46753.0,USD,EN,CT,India,S,India,50,"Scala, Java, Tableau",PhD,1,Manufacturing,2024-11-16,2024-12-18,2012,9.7,Quantum Computing Inc
AI00048,AI Software Engineer,69020.0,USD,MI,FL,China,L,China,0,"Java, Azure, GCP",Bachelor,4,Energy,2024-09-05,2024-10-25,1584,8.8,TechCorp Inc
AI00049,AI Specialist,288815.0,USD,EX,PT,Switzerland,S,Switzerland,0,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,Manufacturing,2024-08-08,2024-09-23,1930,7.2,Cognitive Computing
AI00050,AI Consultant,124871.0,USD,EX,FL,Austria,M,Finland,50,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,2025-03-10,2025-05-17,1556,8.0,Autonomous Tech
AI00051,AI Architect,70391.0,EUR,MI,FT,Germany,S,Germany,0,"Deep Learning, SQL, Mathematics",PhD,4,Government,2024-08-16,2024-10-19,1974,9.2,TechCorp Inc
AI00052,research scientist,115376.0,USD,EX,FT,India,M,India,100,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,2024-03-12,2024-04-14,2028,5.5,Autonomous Tech
AI00053,Research Scientist,106579.0,USD,MI,PT,United States,S,United States,100,,Associate,3,Gaming,2024-02-24,2024-05-02,2028,5.4,Cognitive Computing
AI00054,Data Scientist,135230.0,USD,SE,PT,Norway,S,Norway,100,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,2024-07-07,2024-09-09,1219,7.5,DataVision Ltd
AI00055,research scientist,67607.0,USD,MI,PT,Israel,S,Israel,50,"Python, Tableau, TensorFlow, AWS",Master,4,Media,2024-08-05,2024-08-26,1714,8.6,Quantum Computing Inc
AI00056,ai architect,88470.0,USD,MI,PT,Canada,L,Canada,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,2024-07-29,2024-09-27,1528,9.1,Autonomous Tech
AI00057,AUTONOMOUS SYSTEMS ENGINEER,79863.0,USD,MI,FL,India,L,India,100,"Python, Docker, GCP, Scala",Associate,4,Automotive,2024-09-28,2024-10-26,1325,5.6,Autonomous Tech
AI00058,Machine Learning Engineer,60299.0,USD,EN,PT,Israel,L,Israel,100,"Git, Linux, Python, TensorFlow, Mathematics",Phd,0,Finance,2025-03-22,2025-05-01,1872,6.6,Advanced Robotics
AI00059,machine learning engineer,85645.0,EUR,MI,FT,Germany,M,Germany,0,"PyTorch, Computer Vision, R",Associate,4,Transportation,2024-02-09,2024-03-06,793,7.9,AI Innovations
AI00060,AI SOFTWARE ENGINEER,,GBP,SE,FL,United Kingdom,S,France,0,"R, Spark, AWS",Associate,8,Media,2024-03-20,2024-05-05,1945,9.0,TechCorp Inc
AI00061,Data Scientist,49365.0,USD,EN,FT,China,M,China,0,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,2024-06-22,2024-08-14,1907,10.0,Predictive Systems
AI00062,Data Scientsit,162296.0,USD,SE,PT,Norway,S,Norway,50,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,2024-06-05,2024-07-01,1714,6.2,Neural Networks Co
AI00063,ai consultant,102382.0,USD,MI,PT,Switzerland,M,Switzerland,0,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,2024-03-23,2024-06-03,2199,5.8,Smart Analytics
AI00064,ai software engineer,99972.0,USD,MI,PT,Australia,M,Canada,50,"Java, R, Deep Learning, NLP, Azure",Phd,4,Technology,2024-02-20,2024-03-15,799,6.5,Cloud AI Solutions
AI00065,data engineer,64129.0,USD,EN,CT,South Korea,L,South Korea,0,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,2024-12-15,2025-02-11,909,7.1,Machine Intelligence Group
AI00066,ai specialist,87938.0,USD,SE,FT,Ireland,S,Ireland,100,"Mathematics, Spark, Python, AWS",PhD,8,Education,2024-12-15,2025-02-12,508,8.1,Machine Intelligence Group
AI00067,Autonomous Systems Enginner,71405.0,USD,MI,FL,Israel,L,Israel,0,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,2024-09-01,2024-10-29,1153,9.5,Advanced Robotics
AI00068,machine learning engineer,316182.0,USD,EX,PT,Denmark,M,Canada,0,"Python, Scala, Statistics, Git",Associate,12,Finance,2025-02-09,2025-02-23,2452,7.0,Digital Transformation LLC
AI00069,Machine Learning Researcher,72459.0,EUR,EN,PT,Germany,M,Germany,100,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,2024-08-30,2024-09-15,583,9.6,Quantum Computing Inc
AI00070,PRINCIPAL DATA SCIENTIST,78338.0,EUR,MI,FT,France,L,France,100,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,2024-10-31,2024-12-15,548,8.7,Cognitive Computing
AI00071,NLP ENGINEER,51907.0,USD,MI,FL,Israel,M,Singapore,100,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,2024-02-14,2024-04-02,912,8.2,Neural Networks Co
AI00072,Autonomous Systems Engineer,122831.0,EUR,SE,FL,France,S,France,100,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,2024-05-31,2024-06-19,761,8.4,Algorithmic Solutions
AI00073,machine learning researcher,124820.0,USD,MI,FL,Norway,S,Norway,50,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,2024-08-02,2024-10-01,2077,9.9,Cognitive Computing
AI00074,Autonomous Systems Enginner,134200.0,GBP,SE,PT,United Kingdom,S,United Kingdom,50,"Linux, R, Tableau",PhD,9,Retail,2024-11-29,2025-01-09,2396,7.8,Machine Intelligence Group
AI00075,data engineer,51920.0,USD,EN,PT,Sweden,S,Finland,100,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,2025-04-08,2025-05-13,1778,7.9,Digital Transformation LLC
AI00076,Data Engineer,56427.0,USD,EN,FL,Singapore,M,Singapore,100,"Mathematics, Kubernetes, Spark",Master,0,Energy,2024-11-16,2025-01-25,1366,5.2,DeepTech Ventures
AI00077,AI PRODUCT MANAGER,213783.0,USD,EX,FT,Canada,S,Canada,100,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,2024-09-19,2024-10-06,2383,9.2,Quantum Computing Inc
AI00078,ml ops engineer,59728.0,USD,MI,FL,Israel,M,Israel,50,"MLOps, SQL, Statistics",Associate,2,Finance,2024-06-10,2024-08-13,1350,7.5,DataVision Ltd
AI00079,COMPUTER VISION ENGINEER,119432.0,USD,SE,CT,India,L,India,0,"Scala, MLOps, NLP",PhD,6,Technology,2024-04-20,2024-06-08,1008,6.3,Autonomous Tech
AI00080,AI Research Scientist,284486.0,USD,EX,CT,United States,M,United States,0,"PyTorch, Linux, SQL",Master,12,Consulting,2025-02-13,2025-03-10,2231,7.0,TechCorp Inc
AI00081,data analyst,157597.0,EUR,EX,CT,France,L,France,50,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,2024-08-31,2024-09-15,639,8.4,Neural Networks Co
AI00082,ML Ops Enginner,196942.0,USD,EX,CT,Australia,L,Australia,100,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,2024-04-01,2024-04-16,826,7.5,TechCorp Inc
AI00083,Machine Learning Researcher,207548.0,USD,EX,CT,Canada,M,Canada,0,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,2024-02-05,2024-03-11,2292,6.7,Cognitive Computing
AI00084,NLP Engineer,68838.0,USD,MI,FL,Sweden,S,Sweden,50,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,2024-06-20,2024-08-12,804,7.4,TechCorp Inc
AI00085,ml ops engineer,125666.0,USD,EX,FL,Finland,L,Finland,100,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,2024-06-19,2024-08-22,757,8.4,TechCorp Inc
AI00086,nlp engineer,73174.0,USD,EN,FT,Denmark,M,Denmark,50,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,2024-07-14,2024-09-08,678,6.4,Machine Intelligence Group
AI00087,autonomous systems engineer,33314.0,USD,EN,CT,Israel,S,India,50,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,2025-04-16,2025-06-15,1207,8.3,Future Systems
AI00088,AI Specialist,69914.0,USD,EN,FT,United States,S,United States,100,"R, NLP, SQL, GCP",Associate,0,Transportation,2025-02-15,2025-04-15,1517,7.0,Smart Analytics
AI00089,PRINCIPAL DATA SCIENTIST,,EUR,EX,FL,France,M,France,50,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,2024-05-20,2024-07-14,1294,6.9,AI Innovations
AI00090,AI SOFTWARE ENGINEER,78014.0,EUR,EN,CT,France,L,France,50,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,2024-11-19,2024-12-07,841,6.8,Digital Transformation LLC
AI00091,research scientist,48466.0,USD,EN,PT,Canada,S,Canada,100,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,2025-03-10,2025-05-14,1146,5.7,Predictive Systems
AI00092,data analyst,97997.0,EUR,SE,CT,France,S,France,50,,PhD,8,Technology,2024-06-19,2024-07-16,2419,6.0,Algorithmic Solutions
AI00093,PRINCIPAL DATA SCIENTIST,128341.0,USD,SE,FL,Singapore,S,Singapore,0,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,2025-04-26,2025-06-15,2457,6.9,Neural Networks Co
AI00094,AI Research Scientist,111528.0,USD,MI,FL,United States,L,United States,0,"Java, Hadoop, Mathematics",Phd,3,Real Estate,2024-03-01,2024-05-08,1299,9.5,Predictive Systems
AI00095,MACHINE LEARNING RESEARCHER,138945.0,USD,EX,PT,Canada,S,Canada,50,"Linux, R, NLP, PyTorch, Git",Master,19,Education,2024-07-10,2024-09-15,1559,8.9,DeepTech Ventures
AI00096,NLP Engineer,98688.0,USD,SE,FT,Israel,M,Israel,50,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,2024-04-10,2024-05-03,598,8.6,Cognitive Computing
AI00097,data analyst,109029.0,EUR,SE,FT,France,S,France,0,"Kubernetes, Scala, Java",Bachelor,6,Technology,2025-04-05,2025-06-13,2049,6.1,Predictive Systems
AI00098,NLP Engineer,84797.0,USD,MI,FT,Canada,M,Canada,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,2024-12-04,2025-01-03,1909,6.2,Machine Intelligence Group
AI00099,Machine Learning Researcher,290199.0,USD,EX,CT,Switzerland,L,Denmark,50,"Python, AWS, Kubernetes, Deep Learning",Master,12,Retail,2025-01-12,2025-03-07,1137,5.6,Smart Analytics
AI00100,AI Research Scientist,195691.0,USD,SE,CT,United States,L,United States,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,2024-04-20,2024-06-22,916,8.7,Advanced Robotics
AI00101,AI PRODUCT MANAGER,193448.0,USD,SE,FT,Norway,L,Norway,100,"Scala, Git, Java",Associate,9,Consulting,2025-01-02,2025-03-11,579,6.6,Cognitive Computing
AI00102,AI Product Manager,138466.0,USD,EX,PT,Israel,L,Israel,100,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,2024-01-25,2024-04-04,1690,9.5,Smart Analytics
AI00103,Data Analyst,91577.0,EUR,MI,CT,Netherlands,M,Netherlands,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,Transportation,2024-01-27,2024-02-28,859,6.5,Algorithmic Solutions
AI00104,Computer Vision Engineer,92875.0,USD,MI,FT,Sweden,S,Sweden,0,"SQL, Python, Deep Learning",PhD,3,Real Estate,2024-07-21,2024-09-27,701,5.3,Digital Transformation LLC
AI00105,data engineer,213287.0,GBP,EX,FT,United Kingdom,S,United Kingdom,100,"TensorFlow, GCP, PyTorch, Spark",Master,13,Healthcare,2025-03-03,2025-04-03,1102,6.3,Cloud AI Solutions
AI00106,nlp engineer,62171.0,USD,MI,FT,Japan,S,Japan,0,"Git, SQL, PyTorch, Mathematics",Bachelor,2,Consulting,2024-09-15,2024-11-07,2162,8.1,AI Innovations
AI00107,AI RESEARCH SCIENTIST,152658.0,USD,EX,FL,South Korea,L,United Kingdom,50,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,Automotive,2024-01-28,2024-03-17,548,9.0,TechCorp Inc
AI00108,ML Ops Engineer,95085.0,USD,MI,FT,Norway,M,Norway,100,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,Retail,2024-03-20,2024-04-20,2298,6.5,Predictive Systems
AI00109,Deep Learning Engineer,86750.0,EUR,MI,FL,France,S,France,100,"Java, R, Git, Mathematics, Spark",PhD,2,Government,2024-12-13,2025-02-24,1397,7.1,AI Innovations
AI00110,AI Specialist,64261.0,USD,MI,PT,Israel,M,Israel,0,"PyTorch, Docker, GCP",Master,2,Transportation,2024-09-04,2024-10-10,2385,8.8,TechCorp Inc
AI00111,MACHINE LEARNING RESEARCHER,205357.0,USD,EX,PT,United States,S,United States,100,,Bachelor,18,Education,2024-03-08,2024-05-13,1646,6.6,Predictive Systems
AI00112,ai architect,165676.0,EUR,EX,CT,France,S,France,50,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,2024-05-13,2024-06-25,926,7.8,Neural Networks Co
AI00113,computer vision engineer,114658.0,EUR,SE,CT,France,M,France,100,"SQL, Scala, Python",Bachelor,9,Telecommunications,2024-03-18,2024-04-20,1560,8.2,Algorithmic Solutions
AI00114,data scientist,143149.0,EUR,SE,FL,France,L,France,50,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,Real Estate,2024-03-13,2024-05-10,1169,9.1,Digital Transformation LLC
AI00115,MACHINE LEARNING RESEARCHER,116276.0,EUR,SE,FL,Germany,S,Germany,50,"Azure, R, Linux, MLOps",Bachelor,7,Technology,2024-08-14,2024-09-06,608,7.9,Future Systems
AI00116,NLP Engineer,61055.0,USD,EN,FL,United States,M,Ireland,100,"R, AWS, Computer Vision, Statistics, Docker",Bachelor,0,Retail,2024-06-04,2024-07-16,1891,6.9,Autonomous Tech
AI00117,ML Ops Engineer,50303.0,USD,EN,FT,Austria,L,Austria,100,"Kubernetes, SQL, Azure, Deep Learning, Linux",Master,0,Gaming,2024-08-11,2024-10-02,2015,7.0,DataVision Ltd
AI00118,DATA ANALYST,65570.0,USD,SE,FL,Ireland,S,Ireland,50,"PyTorch, SQL, MLOps, AWS, TensorFlow",Associate,7,Retail,2024-10-22,2024-11-06,635,9.9,Smart Analytics
AI00119,AI Software Engineer,231078.0,USD,EX,FL,Singapore,M,Singapore,50,"MLOps, R, Git, Mathematics",Bachelor,17,Consulting,2024-04-15,2024-06-03,784,7.6,Neural Networks Co
AI00120,AI Product Manager,106633.0,USD,SE,FT,Australia,M,South Korea,100,"Linux, Scala, SQL, Git",Bachelor,9,Automotive,2024-05-18,2024-06-25,1243,5.5,Algorithmic Solutions
AI00121,AI Specialist,121180.0,USD,SE,FL,Austria,L,Austria,0,"Git, Deep Learning, Kubernetes, Linux, GCP",Master,9,Media,2025-01-06,2025-02-01,611,7.0,Quantum Computing Inc
AI00122,principal data scientist,64531.0,USD,EN,PT,China,L,Netherlands,50,"Git, SQL, Scala, Python, Computer Vision",,0,Retail,2025-03-26,2025-04-13,1645,7.0,Smart Analytics
AI00123,MACHINE LEARNING ENGINEER,125654.0,USD,MI,CT,Singapore,L,Singapore,50,"Python, Tableau, Java",PhD,4,Automotive,2024-06-20,2024-08-25,1212,6.8,DataVision Ltd
AI00124,machine learning researcher,182275.0,USD,EX,FT,Austria,L,Austria,0,"Docker, AWS, Linux, Git, Azure",Phd,14,Technology,2025-04-19,2025-05-14,2427,9.0,DeepTech Ventures
AI00125,Machine Learning Researcher,117708.0,USD,MI,FL,Denmark,L,Denmark,0,"PyTorch, Scala, Linux, Tableau, Deep Learning",Phd,4,Transportation,2024-02-24,2024-03-17,1912,9.3,Neural Networks Co
AI00126,Data Engineer,,USD,EX,FT,South Korea,S,South Korea,0,"Docker, SQL, Kubernetes, Git, Statistics",Master,11,Healthcare,2024-12-25,2025-01-24,1426,8.4,Future Systems
AI00127,AI PRODUCT MANAGER,203198.0,USD,SE,FT,Denmark,L,Denmark,50,"Statistics, R, Python, TensorFlow",Master,5,Consulting,2024-12-04,2025-01-11,1596,7.6,DeepTech Ventures
AI00128,Research Scientsit,69487.0,USD,EN,CT,Switzerland,S,Switzerland,0,"Kubernetes, Azure, Spark, TensorFlow, Linux",Master,0,Transportation,2024-11-04,2024-12-02,1825,7.7,Machine Intelligence Group
AI00129,ai product manager,95673.0,USD,EX,FL,Ireland,S,Ireland,0,"GCP, R, Azure, Deep Learning, PyTorch",Associate,17,Technology,2024-08-24,2024-09-15,1467,8.1,Neural Networks Co
AI00130,AI SOFTWARE ENGINEER,59405.0,USD,EN,FL,Austria,L,Austria,100,"Spark, Python, Deep Learning, Linux, Java",Bachelor,1,Consulting,2025-03-18,2025-04-12,984,6.0,Smart Analytics
AI00131,AI Specialist,131756.0,EUR,SE,PT,Netherlands,M,Finland,0,"AWS, R, Spark",,5,Technology,2024-08-03,2024-10-15,2308,7.9,AI Innovations
AI00132,AI Software Engineer,42835.0,USD,EN,PT,South Korea,L,France,0,"Python, TensorFlow, PyTorch",Bachelor,0,Media,2025-03-02,2025-03-30,539,9.0,Machine Intelligence Group
AI00133,AUTONOMOUS SYSTEMS ENGINEER,61893.0,USD,EN,FT,Canada,M,Canada,50,"Statistics, Python, SQL",Associate,1,Consulting,2024-03-28,2024-05-01,1419,5.2,Predictive Systems
AI00134,ML Ops Engineer,141791.0,EUR,EX,CT,France,M,France,0,"Hadoop, Azure, Python, R",Phd,13,Media,2025-02-03,2025-02-23,2136,5.8,Algorithmic Solutions
AI00135,AI Product Manager,258637.0,GBP,EX,PT,United Kingdom,M,United Kingdom,50,"Computer Vision, GCP, Azure, SQL, Python",Master,11,Education,2025-01-16,2025-02-15,813,9.1,Cognitive Computing
AI00136,nlp engineer,49485.0,USD,MI,FT,Finland,S,Finland,0,"Hadoop, Java, Data Visualization",Associate,2,Technology,2024-08-09,2024-09-16,909,7.8,Cloud AI Solutions
AI00137,robotics engineer,172916.0,USD,SE,PT,Norway,S,India,100,"Computer Vision, SQL, PyTorch, Java",Bachelor,8,Manufacturing,2024-12-29,2025-01-15,1630,7.6,Smart Analytics
